integration,Time,RunTime,
TPG-R2-L008-SCH,10:23:00,49,
TPG-R2-L008-SCH,10:12:59,43,
TPG-R2-L008-SCH,10:03:12,47,
TPG-R2-L008-SCH,9:53:11,5,
TPG-R2-L008-SCH,9:43:11,37,
TPG-R2-L008-SCH,9:33:14,41,
TPG-R2-L008-SCH,9:23:16,2,
TPG-R2-L008-SCH,9:13:11,23,
TPG-R2-L008-SCH,9:03:12,12,
TPG-R2-L008-SCH,8:53:10,1,
TPG-R2-L008-SCH,8:43:11,23,
TPG-R2-L008A,10:25:00,0,
TPG-R2-L008A,10:14:59,13,
TPG-R2-L008A,10:05:00,16,
TPG-R2-L008A,9:54:56,9,
TPG-R2-L008A,9:44:56,17,
TPG-R2-L008A,9:34:54,40,
TPG-R2-L008A,9:24:58,9,
TPG-R2-L008A,9:14:58,10,
TPG-R2-L008A,9:04:57,4,
TPG-R2-L008A,8:54:55,25,
TPG-R2-L008A,8:44:55,18,
,,,
,,,
,,,
,,,
