Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
0,QSL_Base,2,12622.5,12622.5,11626,13619,13419.7,13519.35,13599.07,0.0017557690180510612
0,RTSA_Details_Base,54,81916.83333333333,1511.0,0,1085135,3565.5000000000005,1084608.25,1085031.65,0.04740576348737865
0,RTSA_EDD_Base,55,80460.4,1464.0,0,1085085,3512.0000000000005,1084398.9,1084951.08,0.04828364799640418
0,SalesOrder_Base,2,7038.5,7038.5,5081,8996,8604.5,8800.25,8956.85,0.0017557690180510612
0,TnT_Base,5,126.2,82.0,65,237,211.8,224.39999999999998,234.48,0.004389422545127653
0,WG_Base,2,2645.5,2645.5,2509,2782,2754.7,2768.35,2779.27,0.0017557690180510612
1,QSL_Base,5,13953.6,12428.0,11879,20206,17339.2,18772.6,19919.32,0.002777507742302832
1,RTSA_Details_Base,1464,1935.995218579235,1533.0,0,17279,2313.5,2681.0999999999995,15523.499999999995,0.8132542669462691
1,RTSA_EDD_Base,1463,1932.9063568010936,1529.0,0,17425,2300.0,2740.7,15495.639999999996,0.8126987653978086
1,SalesOrder_Base,60,3922.383333333333,5210.0,645,15868,7243.6,8483.35,13345.159999999985,0.03333009290763398
1,TnT_Base,100,101.78,86.0,0,873,128.0,139.1,416.61000000000234,0.05555015484605663
1,WG_Base,60,2894.95,2420.5,0,17898,3335.5,4277.399999999998,12590.94999999997,0.03333009290763398
2,QSL_Base,59,16136.474576271186,14246.0,12338,59441,18150.8,20167.899999999998,53108.56000000002,0.03275632238661454
2,RTSA_Details_20Th,17330,2077.0545297172534,1783.0,1274,21560,2713.0,3319.5499999999993,5087.749999999978,9.62147571118695
2,SalesOrder_Base,60,8205.616666666667,7284.0,5288,24629,10442.6,14988.249999999998,21219.97999999998,0.033311514291472416
2,TnT_Base,100,105.72,82.5,67,1269,135.0,141.14999999999998,220.59000000000543,0.055519190485787365
2,WG_Base,60,5140.3,4133.5,2562,21118,6882.900000000001,11737.25,16823.389999999974,0.033311514291472416
3,QSL_Base,60,14459.783333333333,14020.5,12081,21985,16300.1,18037.749999999996,20773.729999999992,0.0333010867809671
3,RTSA_EDD_20Th,17878,2013.6872692694933,1801.0,1312,8289,2721.300000000001,3175.149999999998,4514.149999999998,9.922613824502163
3,SalesOrder_Base,60,6922.9,6418.0,5686,11816,8488.5,9254.75,11215.969999999996,0.0333010867809671
3,TnT_Base,100,94.19,84.0,65,337,117.0,144.34999999999997,280.5700000000003,0.05550181130161183
