Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>,,,,,,,,,,,
0,QSL_Base,10,3470.1,3347.0,2993.0,5297.0,3729.2,4513.1,5140.2,0.0,30.0,,,,,,,,,,
0,RTSA_Base,2007,1633.0,1469.0,1226.0,6458.0,2100.4,2466.5,3844.7,1.7,6015.4,,,,,,,,,,
0,SalesOrder_Base,50,2678.1,2485.5,2166.0,5780.0,3214.4,3520.4,4987.2,0.0,149.9,,,,,,,,,,
0,TnT_Base,67,125.7,99.0,70.0,975.0,165.0,220.2,562.5,0.1,200.8,,,,,,,,,,
0,Token Request,1,317.0,317.0,317.0,317.0,317.0,317.0,317.0,0.0,3.0,,,,,,,,,,
0,WG_Base,7,1778.0,1516.0,1408.0,2640.0,2423.4,2531.7,2618.3,0.0,21.0,,,,,,,,,,
1,QSL_Base,10,4532.0,4235.0,3940.0,6355.0,5399.2,5877.1,6259.4,0.0,29.9,,,,,,,,,,
1,RTSA_20th,11599,2069.8,1856.0,1343.0,9237.0,2828.2,3361.0,4563.2,9.6,34736.2,,,,,,,,,,
1,SalesOrder_Base,50,3324.1,2980.5,2472.0,8703.0,4102.2,4607.0,7834.2,0.0,149.7,,,,,,,,,,
1,TnT_Base,67,213.0,125.0,77.0,2908.0,330.6,454.8,1439.5,0.1,200.6,,,,,,,,,,
1,Token Request,1,228.0,228.0,228.0,228.0,228.0,228.0,228.0,0.0,3.0,,,,,,,,,,
1,WG_Base,7,2639.1,2217.0,1884.0,4374.0,3674.4,4024.2,4304.0,0.0,21.0,,,,,,,,,,
2,QSL_Base,10,6090.4,5500.0,4415.0,11467.0,7656.4,9561.7,11085.9,0.0,30.0,,,,,,,,,,
2,RTSA_40th,15187,3161.1,2766.0,1387.0,12962.0,4873.4,5927.4,8510.8,12.6,45496.4,,,,,,,,,,
2,SalesOrder_Base,50,5335.1,4372.5,2549.0,16078.0,7644.7,10565.6,14494.8,0.0,149.8,,,,,,,,,,
2,TnT_Base,67,140.3,95.0,71.0,1688.0,147.0,169.7,1101.9,0.1,200.7,,,,,,,,,,
2,Token Request,1,177.0,177.0,177.0,177.0,177.0,177.0,177.0,0.0,3.0,,,,,,,,,,
2,WG_Base,7,3435.9,3431.0,2311.0,5224.0,4190.2,4707.1,5120.6,0.0,21.0,,,,,,,,,,
3,QSL_Base,10,3561.1,3519.0,3291.0,4073.0,3785.9,3929.5,4044.3,0.0,30.0,,,,,,,,,,
3,RTSA_Base,2007,1701.2,1500.0,1225.0,6637.0,2156.2,2867.3,4553.5,1.7,6013.1,,,,,,,,,,
3,SalesOrder_Base,50,2930.7,2685.5,2201.0,9802.0,3619.8,3991.5,7323.1,0.0,149.8,,,,,,,,,,
3,TnT_Base,67,115.0,97.0,73.0,335.0,162.6,229.1,320.5,0.1,200.7,,,,,,,,,,
3,Token Request,1,214.0,214.0,214.0,214.0,214.0,214.0,214.0,0.0,3.0,,,,,,,,,,
3,WG_100,34,2003.3,1781.0,1429.0,3142.0,2931.0,2986.5,3097.1,0.0,101.9,,,,,,,,,,
4,QSL_Base,10,4261.5,3716.0,3343.0,8736.0,4731.9,6733.9,8335.6,0.0,30.0,,,,,,,,,,
4,RTSA_Base,2006,1908.4,1590.0,1269.0,7567.0,2767.0,3883.3,6112.8,1.7,6010.3,,,,,,,,,,
4,SalesOrder_Base,50,3509.7,2622.0,2100.0,11242.0,7547.3,9134.8,10742.7,0.0,149.8,,,,,,,,,,
4,TnT_Base,67,175.3,97.0,73.0,1382.0,181.4,823.8,1238.8,0.1,200.7,,,,,,,,,,
4,Token Request,1,209.0,209.0,209.0,209.0,209.0,209.0,209.0,0.0,3.0,,,,,,,,,,
4,WG_200,67,2260.0,1844.0,1450.0,9130.0,3078.6,4327.3,7385.6,0.1,200.7,,,,,,,,,,
5,QSL_Base,10,4695.1,3554.5,3400.0,11762.0,5863.4,8812.7,11172.1,0.0,29.9,,,,,,,,,,
5,RTSA_Base,1984,1992.2,1555.0,1247.0,12911.0,2695.2,4943.8,8929.8,1.6,5939.4,,,,,,,,,,
5,SalesOrder_400,132,3172.4,2500.0,2060.0,20951.0,4171.8,6544.9,13072.2,0.1,395.2,,,,,,,,,,
5,TnT_Base,67,143.1,94.0,74.0,1379.0,144.4,320.5,1258.2,0.1,200.6,,,,,,,,,,
5,Token Request,1,142.0,142.0,142.0,142.0,142.0,142.0,142.0,0.0,3.0,,,,,,,,,,
5,WG_Base,7,3077.1,2410.0,1570.0,6647.0,5259.8,5953.4,6508.3,0.0,21.0,,,,,,,,,,
6,QSL_Base,10,5303.4,3703.0,3272.0,17753.0,6766.7,12259.8,16654.4,0.0,30.0,,,,,,,,,,
6,RTSA_Base,1963,1842.8,1458.0,1205.0,35205.0,2205.0,3072.0,6897.5,1.6,5881.1,,,,,,,,,,
6,SalesOrder_800,264,2849.9,2339.0,1996.0,33534.0,3453.0,4395.5,11571.0,0.2,790.9,,,,,,,,,,
6,TnT_Base,67,97.7,86.0,74.0,398.0,117.8,129.7,256.8,0.1,200.7,,,,,,,,,,
6,Token Request,1,151.0,151.0,151.0,151.0,151.0,151.0,151.0,0.0,3.0,,,,,,,,,,
6,WG_Base,7,2090.3,1857.0,1558.0,3971.0,2768.0,3369.5,3850.7,0.0,21.0,,,,,,,,,,
7,QSL_Base,10,5051.1,3499.0,3011.0,10886.0,8640.5,9763.2,10661.5,0.0,29.9,,,,,,,,,,
7,RTSA_Base,1991,2009.2,1590.0,1256.0,12627.0,3071.0,4380.0,7633.6,1.7,5960.2,,,,,,,,,,
7,SalesOrder_1450,459,3094.6,2489.0,1965.0,26477.0,4119.4,5977.4,12628.7,0.4,1374.1,,,,,,,,,,
7,TnT_Base,67,168.2,93.0,72.0,1834.0,138.8,266.5,1737.0,0.1,200.6,,,,,,,,,,
7,Token Request,1,134.0,134.0,134.0,134.0,134.0,134.0,134.0,0.0,3.0,,,,,,,,,,
7,WG_Base,7,2444.3,1713.0,1586.0,6670.0,3925.6,5297.8,6395.6,0.0,21.0,,,,,,,,,,
8,QSL_Base,10,5921.4,3595.5,2999.0,17116.0,13882.3,15499.1,16792.6,0.0,30.0,,,,,,,,,,
