Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>,,,,,,,,
0,QSL_BAU,7,7974,6016,3214,26301,14729,20515,25144,0,21,,,,,,,
0,RTSA-EDD_BAU,405,2469,1470,1253,14610,4858,8460,14205,0,1216,,,,,,,
0,RTSA_BAU,396,2278,1446,1233,19999,4720,7100,13510,0,1189,,,,,,,
0,Siebel_BAU,34,3669,2305,2031,23818,4479,9823,22145,0,102,,,,,,,
0,TnT_BAU,50,219,121,103,1946,237,405,1765,0,150,,,,,,,
0,Token Request,1,300,300,300,300,300,300,300,0,3,,,,,,,
0,WG_BAU,7,5948,3421,1572,24205,12862,18533,23071,0,21,,,,,,,
1,QSL_Base,10,5826,3585,3070,26448,6311,16380,24434,0,30,,,,,,,
1,RTSA-EDD_Base,1127,2398,1529,1255,17899,5755,7636,11397,1,3378,,,,,,,
1,RTSA_Base,1127,2365,1498,1250,15800,5182,7709,11448,1,3378,,,,,,,
1,Siebel_Base,93,4501,2274,2001,30627,8647,20462,28152,0,279,,,,,,,
1,TnT_Base,67,456,119,103,3432,1578,2244,3322,0,201,,,,,,,
1,Token Request,1,242,242,242,242,242,242,242,0,3,,,,,,,
1,WG_Base,7,2218,1799,1467,4398,3289,3844,4287,0,21,,,,,,,
2,QSL_Base,10,5372,4488,3686,9795,7664,8729,9582,0,30,,,,,,,
2,RTSA-EDD_20th,5183,2315,1965,1373,9909,3390,4408,7083,4,15526,,,,,,,
2,RTSA_20th,5213,2303,1961,1351,10570,3331,4512,6736,4,15616,,,,,,,
2,Siebel_Base,99,4662,3426,2270,19075,8470,12143,17341,0,297,,,,,,,
2,TnT_Base,67,262,119,101,1948,441,1138,1493,0,201,,,,,,,
2,Token Request,1,242,242,242,242,242,242,242,0,3,,,,,,,
2,WG_Base,7,3930,3683,1905,6997,5852,6424,6882,0,21,,,,,,,
3,QSL_Base,10,10919,10847,5139,15974,15629,15802,15940,0,30,,,,,,,
3,RTSA-EDD_40th,5711,4214,3255,1401,39120,6832,8498,17937,5,17033,,,,,,,
3,RTSA_40th,5683,4234,3286,1387,37027,7053,8594,17882,5,16949,,,,,,,
3,Siebel_Base,90,8497,5951,2352,30614,17277,19796,24873,0,268,,,,,,,
3,TnT_Base,67,387,124,100,1965,1258,1744,1962,0,200,,,,,,,
3,Token Request,1,577,577,577,577,577,577,577,0,3,,,,,,,
3,WG_Base,7,7731,6277,4894,17658,11559,14608,17048,0,21,,,,,,,
4,QSL_Base,10,8231,3803,3146,22066,19368,20717,21796,0,30,,,,,,,
4,RTSA-EDD_Base,1038,3351,1654,1260,17680,8782,10134,12689,1,3096,,,,,,,
4,RTSA_Base,1039,3359,1659,1261,17874,8772,10120,12752,1,3099,,,,,,,
