Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
0,QSL_Base,30,12397.733333333334,12239.5,11365,14715,13427.3,13679.999999999998,14459.220000000001,0.016654582841560513
0,RTSA-EDD_Base,1503,1656.0172987358617,1480.0,1235,7357,2103.6,2429.7999999999997,4404.700000000003,0.8343946003621816
0,RTSA_Details_Base,1503,1653.66001330672,1476.0,1229,7444,2063.0,2442.7,4614.840000000001,0.8343946003621816
0,SalesOrder_Base,30,5683.6,5263.0,4959,10619,6383.1,7742.399999999995,10002.460000000003,0.016654582841560513
0,TnT_Base,100,93.76,79.0,65,342,120.30000000000011,172.45,280.62000000000035,0.05551527613853504
0,WG_Base,30,2636.4666666666667,2505.5,2014,5914,2902.3,2990.7999999999997,5086.630000000003,0.016654582841560513
1,QSL_Base,30,13594.6,13280.5,0,24542,15861.800000000001,19184.24999999999,23488.72,0.01681874550098558
1,RTSA_Details_20Th,10975,1942.502596810934,1723.0,1337,9849,2682.0,3093.0,3931.0800000000017,6.152857729110558
1,SalesOrder_Base,30,6047.2,5664.0,0,10611,9106.300000000001,9547.749999999998,10379.0,0.01681874550098558
1,TnT_Base,100,86.69,79.5,0,197,114.30000000000003,124.89999999999995,183.14000000000007,0.05606248500328526
1,WG_Base,30,2940.8333333333335,2794.0,0,7008,4626.7,5054.949999999998,6528.920000000002,0.01681874550098558
2,QSL_Base,30,14080.633333333333,13641.0,12264,18040,16074.5,16247.199999999999,17549.32,0.016651504546693317
2,RTSA-EDD_20th,18127,1986.1146356264137,1743.0,1288,13339,2674.0,3165.7000000000007,4556.50000000004,10.061394097263658
2,SalesOrder_Base,30,6316.433333333333,6049.0,5534,9195,6897.6,7172.799999999999,8657.630000000001,0.016651504546693317
2,TnT_Base,100,90.78,78.0,64,492,115.30000000000003,129.49999999999997,196.98000000000152,0.05550501515564439
2,WG_Base,30,3092.0333333333333,2964.5,2437,5287,3378.1,4209.399999999996,5160.85,0.016651504546693317
3,QSL_Base,30,21622.666666666668,18163.5,13377,51827,30720.900000000023,46783.34999999999,50645.83,0.016648778479122987
3,RTSA_Details_40th,23309,3089.7089965249475,2663.0,1320,19103,4612.200000000001,5662.5999999999985,10380.079999999958,12.935545918995924
3,SalesOrder_Base,30,10291.633333333333,9331.0,6539,21913,14345.2,14996.499999999998,19950.280000000006,0.016648778479122987
3,TnT_Base,100,106.6,87.5,64,419,166.3,222.84999999999997,414.05,0.05549592826374329
3,WG_Base,30,5971.1,5332.5,2973,15192,8378.400000000003,11639.449999999992,14537.470000000001,0.016648778479122987
4,QSL_Base,28,17235.464285714286,18052.5,0,27413,22439.2,23289.8,26393.480000000003,0.017042743199945462
4,RTSA-EDD_40th,16878,2946.640063988624,2618.0,1322,15963,4415.300000000001,5150.15,7478.379999999997,10.273122133167126
4,SalesOrder_Base,28,8570.607142857143,7970.0,0,15307,13719.1,14458.05,15154.99,0.017042743199945462
4,TnT_Base,92,105.20652173913044,80.0,0,1163,120.30000000000004,190.4000000000001,448.6500000000027,0.0559975847998208
4,WG_Base,28,3924.75,3462.5,0,10689,6012.4,7917.999999999996,10212.990000000002,0.017042743199945462
5,QSL_Base,30,14142.566666666668,12809.0,11738,40749,15889.700000000003,17424.85,34014.62000000002,0.016649850317845643
5,RTSA-EDD_Base,1479,1815.9797160243409,1480.0,1207,15548,2289.4,2850.3999999999996,11306.240000000003,0.8208376206697902
5,RTSA_Details_Base,1479,1826.3847194050034,1489.0,1191,15398,2354.0,2886.799999999994,11433.84,0.8208376206697902
5,SalesOrder_Base,30,7158.466666666666,6652.0,5433,19299,8819.800000000001,9686.449999999997,16670.44000000001,0.016649850317845643
5,TnT_Base,100,105.0,81.0,65,908,127.60000000000005,167.84999999999997,389.2400000000027,0.05549950105948548
5,WG_Base,30,4176.8,3491.5,2435,16674,4878.800000000001,7401.699999999991,14417.510000000006,0.016649850317845643
6,QSL_Base,30,12863.5,12219.5,11293,18484,16176.400000000001,16953.75,18048.710000000003,0.016659419819045382
6,RTSA-EDD_Base,1503,1585.5681969394545,1452.0,1237,6904,1949.3999999999999,2211.9999999999986,3575.2000000000025,0.8346369329341736
6,RTSA_Details_Base,1503,1557.2501663339988,1424.0,1195,6853,1859.3999999999999,2155.199999999999,4240.460000000001,0.8346369329341736
6,SalesOrder_Base,30,5591.3,5327.0,4939,8795,6093.4,6505.299999999997,8225.730000000001,0.016659419819045382
6,TnT_4Th,22655,79.18499227543589,71.0,59,5721,91.0,126.0,203.45999999999913,12.580638533349106
6,WG_Base,30,2711.3333333333335,2524.5,2043,5337,3205.0000000000005,3685.949999999999,4916.790000000001,0.016659419819045382
7,QSL_Base,30,14478.833333333334,11960.5,11158,47604,15529.500000000002,30336.999999999927,45929.54000000001,0.016665194574479254
7,RTSA-EDD_Base,1469,1843.494894486045,1513.0,1220,16895,2097.2000000000003,2470.399999999999,13641.399999999998,0.8160390276636674
7,RTSA_Details_Base,1469,1821.9026548672566,1491.0,1192,17016,2057.2,2496.0,13739.959999999997,0.8160390276636674
7,SalesOrder_Base,30,6008.533333333334,5281.5,4903,23070,6206.700000000002,6986.05,18409.70000000001,0.016665194574479254
7,TnT_7Th,158906,79.10734018853914,72.0,55,1912,97.0,113.0,176.95000000001164,88.27331363507334
7,WG_Base,30,3522.6666666666665,2385.5,1899,20906,3031.8000000000015,11415.99999999996,19936.530000000002,0.016665194574479254
8,QSL_Base,30,12203.7,12072.5,11075,16305,12990.7,13213.35,15410.640000000003,0.016654897205974444
8,RTSA-EDD_Base,1503,1615.7804391217564,1466.0,1242,7436,2004.3999999999999,2337.7999999999984,4202.380000000003,0.8344103500193197
8,RTSA_Details_Base,1503,1581.519627411843,1442.0,1220,6909,1936.3999999999999,2243.7999999999984,3369.94,0.8344103500193197
8,SalesOrder_Base,30,5164.2,5135.0,4855,5822,5437.0,5532.3,5741.38,0.016654897205974444
8,TnT_Base,100,141.64,78.0,63,4670,130.20000000000002,159.84999999999997,579.3200000000211,0.05551632401991482
